ID,collect_datetime,step_count
#DJQUPN,2022-08-11,6280
#DJQUPN,2022-08-12,3807
#DJQUPN,2022-08-14,7979
#DJQUPN,2022-08-16,10343
#DJQUPN,2022-08-17,2891
#DJQUPN,2022-08-18,4069
#DJQUPN,2022-08-19,2050
#DJQUPN,2022-08-20,8046
#DJQUPN,2022-08-22,3465
#DMRIZK,2022-07-28,6973
#DMRIZK,2022-07-29,1392
#DMRIZK,2022-07-30,30
#DMRIZK,2022-08-05,12
#DPTCSW,2022-07-24,3067
#DPTCSW,2022-07-25,1957
#DPTCSW,2022-07-26,5547
#DPTCSW,2022-07-27,7615
#DPTCSW,2022-07-28,3343
#DPTCSW,2022-07-29,18772
#DPTCSW,2022-07-30,10885
#DPTCSW,2022-07-31,2354
#DPTCSW,2022-08-01,1986
#DPTCSW,2022-08-02,3793
#DPTCSW,2022-08-03,2096
#DPTCSW,2022-08-04,3513
#DPTCSW,2022-08-05,9031
#DPTCSW,2022-08-06,1412
#DPTCSW,2022-08-07,1195
#DPTCSW,2022-08-08,978
#DPTCSW,2022-08-09,3656
#DPTCSW,2022-08-10,3284
#DPTCSW,2022-08-11,5046
#DPTCSW,2022-08-12,7859
#DPTCSW,2022-08-13,3866
#DPTCSW,2022-08-14,4673
#DPTCSW,2022-08-15,4080
#DPTCSW,2022-08-16,3701
#DPTCSW,2022-08-17,2077
#DPTCSW,2022-08-18,2205
#DPTCSW,2022-08-19,4903
#DPTCSW,2022-08-20,4979
#DPTCSW,2022-08-21,125
#DPTCSW,2022-08-22,2708
#DPTCSW,2022-08-23,6434
#DPTCSW,2022-08-24,5725
#DPTCSW,2022-08-25,6455
#DPTCSW,2022-08-26,8
#DXYDON,2022-07-19,6055
#DXYDON,2022-08-10,1090
#DZGHXB,2022-07-16,38
#DZGHXB,2022-07-17,2554
#DZGHXB,2022-07-18,2886
#DZGHXB,2022-07-19,4240
#DZGHXB,2022-07-20,7461
#DZGHXB,2022-07-21,3206
#DZGHXB,2022-07-22,26
#DZGHXB,2022-07-29,28
#DZGHXB,2022-07-31,169
#DZGHXB,2022-08-07,389
#DZGHXB,2022-08-09,102
#DZGHXB,2022-08-12,284
#DZGHXB,2022-08-13,21
#DZGHXB,2022-08-14,5999
#DZGHXB,2022-08-16,26
#DZGHXB,2022-08-18,33
#DZGHXB,2022-08-24,12465
#EGFHYF,2022-07-15,4953
#EGFHYF,2022-07-18,91
#ELFNZG,2022-07-31,412
#ELFNZG,2022-08-01,2753
#ELFNZG,2022-08-02,2175
#ELFNZG,2022-08-03,90
#ELFNZG,2022-08-04,4316
#ELFNZG,2022-08-05,2777
#ELFNZG,2022-08-06,6388
#ELFNZG,2022-08-07,1331
#ELFNZG,2022-08-08,1976
#ELFNZG,2022-08-09,1204
#ELFNZG,2022-08-10,1383
#ELFNZG,2022-08-11,91
#ELFNZG,2022-08-12,669
#ELFNZG,2022-08-13,49
#ELFNZG,2022-08-15,6
#ELFNZG,2022-08-17,1384
#ELFNZG,2022-08-18,5131
#ELFNZG,2022-08-19,5859
#ELFNZG,2022-08-20,5181
#ELFNZG,2022-08-21,8174
#ELFNZG,2022-08-22,3507
#ELFNZG,2022-08-23,7543
#ELFNZG,2022-08-24,3411
#ELFNZG,2022-08-25,4890
#ELFNZG,2022-08-26,3007
#EMMRWD,2022-07-15,5467
#EOBGAT,2022-07-26,3
#EUICGK,2022-08-13,46
#EUVQQO,2022-07-14,6412
#EUVQQO,2022-07-15,1353
#EUVQQO,2022-07-22,2305
#EUVQQO,2022-07-26,7254
#EUVQQO,2022-07-27,3859
#EUVQQO,2022-07-30,70
#EUVQQO,2022-08-02,146
#EUVQQO,2022-08-03,125
#EUVQQO,2022-08-05,5051
#EUVQQO,2022-08-08,2409
#EUVQQO,2022-08-10,114
#EUVQQO,2022-08-11,1063
#EUVQQO,2022-08-12,2074
#EUVQQO,2022-08-13,18
#EUVQQO,2022-08-15,10802
#EUVQQO,2022-08-16,817
#EUVQQO,2022-08-17,83
#EUVQQO,2022-08-18,545
#EUVQQO,2022-08-19,2972
#EUVQQO,2022-08-20,706
#EUVQQO,2022-08-21,1113
#EUVQQO,2022-08-22,184
#EVJURC,2022-07-18,230
#EVJURC,2022-07-19,829
#EVJURC,2022-07-23,174
#EVJURC,2022-07-24,304
#EVJURC,2022-07-25,2848
#EVJURC,2022-07-26,5351
#EVJURC,2022-07-27,3735
#EVJURC,2022-07-28,2711
#EVJURC,2022-07-29,2823
#EVJURC,2022-07-30,629
#EVJURC,2022-07-31,6418
#EVJURC,2022-08-01,2197
#EVJURC,2022-08-02,296
#EVJURC,2022-08-03,2335
#EVJURC,2022-08-04,2545
#EVJURC,2022-08-06,28
#EVJURC,2022-08-07,365
#EVJURC,2022-08-08,1117
#EVJURC,2022-08-09,657
#EVJURC,2022-08-12,311
#EVJURC,2022-08-13,8679
#EVJURC,2022-08-14,2545
#EVJURC,2022-08-15,3216
#EVJURC,2022-08-16,438
#EVJURC,2022-08-17,1692
#EVJURC,2022-08-18,458
#EVJURC,2022-08-19,1072
#EVJURC,2022-08-20,206
#EVJURC,2022-08-21,8006
#EVJURC,2022-08-22,3032
#EVJURC,2022-08-23,567
#EVJURC,2022-08-24,521
#EVJURC,2022-08-25,121
#EVJURC,2022-08-26,32
#EVTVIG,2022-07-14,30
#EVTVIG,2022-07-16,3334
#EWIHXJ,2022-07-15,993
#EWIHXJ,2022-07-16,6611
#EWIHXJ,2022-07-19,1159
#EWIHXJ,2022-07-24,476
#EWIHXJ,2022-07-26,3448
#EXVWOM,2022-07-14,1408
#EXVWOM,2022-07-15,68
#EXVWOM,2022-07-18,4921
#EXVWOM,2022-07-24,8
#EXVWOM,2022-08-06,1048
#EYRMXX,2022-07-20,81
#EYRMXX,2022-07-24,971
#EYRMXX,2022-07-25,2642
#EYRMXX,2022-07-26,4032
#EYRMXX,2022-07-27,10994
#EYRMXX,2022-07-28,18118
#EYRMXX,2022-07-29,8291
#EYRMXX,2022-07-30,69
#EYRMXX,2022-08-02,72
#EYRMXX,2022-08-09,1463
#EYRMXX,2022-08-11,5031
#EYRMXX,2022-08-22,1501
#EYRMXX,2022-08-23,1231
#EZOQUW,2022-07-16,8168
#EZOQUW,2022-07-17,19228
#EZOQUW,2022-07-20,8673
#EZOQUW,2022-07-21,3568
#EZOQUW,2022-07-26,4961
#EZOQUW,2022-07-27,343
#EZOQUW,2022-07-28,130
#EZOQUW,2022-07-30,47
#EZOQUW,2022-07-31,3754
#EZOQUW,2022-08-01,2759
#EZOQUW,2022-08-02,2282
#EZOQUW,2022-08-05,3409
#EZOQUW,2022-08-06,636
#EZOQUW,2022-08-07,8458
#EZOQUW,2022-08-09,11
#EZOQUW,2022-08-10,429
#EZOQUW,2022-08-19,1786
#FAGQPB,2022-07-22,406
#FAGQPB,2022-07-24,416
#FAGQPB,2022-07-25,6
#FAGQPB,2022-07-26,296
#FAGQPB,2022-07-28,6
#FAGQPB,2022-07-30,15
#FAGQPB,2022-08-01,390
#FAGQPB,2022-08-03,17
#FAGQPB,2022-08-04,22
#FAGQPB,2022-08-06,51
#FAGQPB,2022-08-07,308
#FAGQPB,2022-08-09,29
#FAGQPB,2022-08-10,224
#FAGQPB,2022-08-12,30
#FAGQPB,2022-08-13,28
#FAGQPB,2022-08-14,1
#FAGQPB,2022-08-16,120
#FAGQPB,2022-08-18,63
#FAGQPB,2022-08-19,60
#FAGQPB,2022-08-20,6
#FAGQPB,2022-08-21,18
#FAGQPB,2022-08-23,7
#FCVHBL,2022-07-17,556
#FCVHBL,2022-07-19,17052
#FCVHBL,2022-07-24,5967
#FCVHBL,2022-08-03,1336
#FCVHBL,2022-08-14,27
#FDDNET,2022-07-18,5078
#FDDNET,2022-07-19,4057
#FDDNET,2022-07-20,1711
#FDDNET,2022-07-21,2707
#FDDNET,2022-07-22,8143
#FDDNET,2022-07-23,51
#FDDNET,2022-07-25,63
#FDDNET,2022-07-27,8829
#FDDNET,2022-07-28,8958
#FDDNET,2022-07-29,10882
#FDDNET,2022-07-30,1943
#FDDNET,2022-07-31,8152
#FDDNET,2022-08-03,1450
#FDDNET,2022-08-04,2211
#FDDNET,2022-08-05,2160
#FDDNET,2022-08-06,249
#FDDNET,2022-08-07,72
#FDDNET,2022-08-13,7373
#FDDNET,2022-08-14,609
#FDDNET,2022-08-15,6797
#FDDNET,2022-08-16,2303
#FDDNET,2022-08-17,2041
#FDDNET,2022-08-18,2187
#FDDNET,2022-08-19,2185
#FDDNET,2022-08-20,4430
#FDDNET,2022-08-21,1569
#FDDNET,2022-08-22,12853
#FDDNET,2022-08-23,7116
#FDDNET,2022-08-24,13876
#FDDNET,2022-08-25,2824
#FEECXP,2022-07-25,30
#FEECXP,2022-07-26,6658
#FEECXP,2022-07-27,2312
#FEECXP,2022-07-28,78
#FEECXP,2022-07-29,4400
#FEECXP,2022-07-31,4399
#FEECXP,2022-08-01,9673
#FEECXP,2022-08-17,9488
#FHLPMN,2022-07-15,5713
#FHLPMN,2022-07-18,11
#FHLPMN,2022-08-01,1409
#FNJWTR,2022-07-18,8540
#FNJWTR,2022-07-19,12678
#FNJWTR,2022-07-20,7705
#FNJWTR,2022-07-21,5615
#FNJWTR,2022-07-22,12504
#FNJWTR,2022-07-23,5734
#FNJWTR,2022-07-24,1212
#FNJWTR,2022-07-25,8310
#FNJWTR,2022-07-26,6486
#FNJWTR,2022-07-27,3538
#FNJWTR,2022-07-28,458
#FNJWTR,2022-07-29,214
#FNJWTR,2022-07-30,8008
#FNJWTR,2022-07-31,1639
#FNJWTR,2022-08-01,2703
#FNJWTR,2022-08-02,1940
#FNJWTR,2022-08-03,3417
#FNJWTR,2022-08-04,11761
#FNJWTR,2022-08-05,11580
#FNJWTR,2022-08-06,7733
#FNJWTR,2022-08-07,3098
#FNJWTR,2022-08-08,3559
#FNJWTR,2022-08-09,2381
#FNJWTR,2022-08-10,1476
#FNJWTR,2022-08-11,2288
#FNJWTR,2022-08-12,1007
#FNJWTR,2022-08-14,1265
#FNJWTR,2022-08-15,247
#FNJWTR,2022-08-16,5624
#FNJWTR,2022-08-17,2942
#FNJWTR,2022-08-18,7917
#FNJWTR,2022-08-19,2871
#FNJWTR,2022-08-20,6080
#FNJWTR,2022-08-22,7289
#FNJWTR,2022-08-23,5366
#FNJWTR,2022-08-24,5588
#FNJWTR,2022-08-25,15125
#FOXGAH,2022-07-20,641
#FOXGAH,2022-07-21,1005
#FOXGAH,2022-07-22,3491
#FRLZND,2022-07-21,1905
#GANTYM,2022-08-17,203
#GANTYM,2022-08-23,3660
#GDUDLH,2022-08-10,2069
#GDUDLH,2022-08-11,4312
#GDUDLH,2022-08-12,3282
#GDUDLH,2022-08-13,3378
#GDUDLH,2022-08-14,598
#GDUDLH,2022-08-15,5397
#GDUDLH,2022-08-16,4300
#GDUDLH,2022-08-17,1420
#GDUDLH,2022-08-18,4416
#GDUDLH,2022-08-19,428
#GDUDLH,2022-08-20,11196
#GDUDLH,2022-08-21,181
#GDUDLH,2022-08-22,4801
#GDUDLH,2022-08-23,276
#GDUDLH,2022-08-24,6225
#GDUDLH,2022-08-26,66
#GEOVWK,2022-07-29,75
#GEOVWK,2022-08-02,789
#GEOVWK,2022-08-03,41
#GEOVWK,2022-08-04,105
#GEOVWK,2022-08-05,68
#GEOVWK,2022-08-07,17
#GEOVWK,2022-08-08,3253
#GEOVWK,2022-08-15,109
#GEOVWK,2022-08-16,1145
#GITGJQ,2022-07-21,589
#GITGJQ,2022-07-25,4138
#GITGJQ,2022-07-26,7631
#GITGJQ,2022-07-27,436
#GITGJQ,2022-07-29,58
#GITGJQ,2022-07-30,102
#GITGJQ,2022-08-01,353
#GITGJQ,2022-08-04,6
#GRCXDF,2022-07-14,6064
#GRCXDF,2022-07-15,4018
#GRCXDF,2022-07-18,3230
#GRCXDF,2022-07-20,2754
#GRCXDF,2022-07-21,2411
#GRCXDF,2022-07-23,5116
#GRCXDF,2022-07-25,43
#GRCXDF,2022-07-26,8045
#GRCXDF,2022-07-27,2182
#GRCXDF,2022-07-28,4455
#GRCXDF,2022-07-29,5184
#GRCXDF,2022-07-30,3845
#GRCXDF,2022-07-31,5140
#GRCXDF,2022-08-02,3074
#GRCXDF,2022-08-03,4054
#GRCXDF,2022-08-04,6612
#GRCXDF,2022-08-05,6974
#GRCXDF,2022-08-06,6421
#GRCXDF,2022-08-07,58
#GRCXDF,2022-08-08,6516
#GRCXDF,2022-08-09,6485
#GRCXDF,2022-08-10,6722
#GRCXDF,2022-08-11,4608
#GRCXDF,2022-08-12,3614
#GRCXDF,2022-08-13,1496
#GRCXDF,2022-08-14,16
#GRCXDF,2022-08-15,105
#GRCXDF,2022-08-16,2179
#GRCXDF,2022-08-17,2044
#GRCXDF,2022-08-18,7675
#GRCXDF,2022-08-19,6365
#GRCXDF,2022-08-20,6444
#GRCXDF,2022-08-21,36
#GRCXDF,2022-08-22,3970
#GRCXDF,2022-08-23,8263
#GRCXDF,2022-08-24,4984
#GRCXDF,2022-08-25,6413
#GRNKCF,2022-07-16,317
#GRNKCF,2022-07-17,5113
#GRNKCF,2022-07-19,3955
#GRNKCF,2022-07-20,6986
#GRNKCF,2022-07-21,7201
#GRNKCF,2022-07-22,9528
#GRNKCF,2022-07-23,160
#GRNKCF,2022-07-24,3111
#GRNKCF,2022-07-25,6933
#GRNKCF,2022-07-26,10588
#GRNKCF,2022-07-27,156
#GRNKCF,2022-07-28,123
#GRNKCF,2022-07-29,4011
#GRNKCF,2022-07-30,3266
